4D8 0.0000
4MZ 0.0172
4HS 0.0268
4VP 0.0271
4CH 0.0276
4ZE 0.0279
4XH 0.0283
4MN 0.0284
4NL 0.0289
4AN 0.0293
4JP 0.0294
4FT 0.0296
43M 0.0297
4PZ 0.0321
4MA 0.0345
4YS 0.0348
4JU 0.0355
45X 0.0359
4F9 0.0361
4LJ 0.0364
4JO 0.0367
4JN 0.0371
4IA 0.0376
4CL 0.0381
4DD 0.0389
45C 0.0394
4G6 0.0402
4FL 0.0407
4H2 0.0407
428 0.0411
4AP 0.0412
4JQ 0.0416
4PL 0.0419
4KS 0.0420
4HB 0.0422
4M4 0.0424
4DX 0.0425
4ZV 0.0425
4MU 0.0426
4AY 0.0429
4FS 0.0431
4ZY 0.0436
4NA 0.0441
4XX 0.0443
4HA 0.0448
4JJ 0.0449
4FA 0.0455
4JM 0.0455
4HC 0.0464
42J 0.0467
42C 0.0471
4SX 0.0476
46S 0.0479
4WT 0.0480
4PA 0.0495
4HR 0.0499
495 0.0500
4MI 0.0503
4ME 0.0507
4OS 0.0507
43U 0.0511
4MT 0.0511
4FP 0.0514
4ZC 0.0515
4WU 0.0519
4JL 0.0521
499 0.0522
4TU 0.0530
4YT 0.0535
43J 0.0539
4A3 0.0540
42A 0.0542
4B8 0.0543
4P8 0.0562
4WJ 0.0562
46O 0.0566
4NS 0.0567
40S 0.0568
4BP 0.0568
4K8 0.0592
4FC 0.0601
4UP 0.0608
40O 0.0609
46X 0.0612
4XP 0.0612
4HU 0.0615
4ON 0.0616
4AJ 0.0625
4NC 0.0629
4TT 0.0630
4UB 0.0632
4CN 0.0636
40R 0.0640
45N 0.0642
4X6 0.0649
4IB 0.0650
4E6 0.0651
4PW 0.0660
4QT 0.0663
4X3 0.0664
4NB 0.0665
4W5 0.0669
4AS 0.0672
4ED 0.0680
4FE 0.0682
46L 0.0684
4LW 0.0685
4GK 0.0687
47J 0.0691
4C8 0.0694
459 0.0698
4AQ 0.0699
4S3 0.0699
4JS 0.0701
47H 0.0702
4QV 0.0708
4RG 0.0708
4Y8 0.0710
4JV 0.0716
49Q 0.0717
4J8 0.0719
4FM 0.0721
4I8 0.0726
4NF 0.0728
49R 0.0729
484 0.0731
4CM 0.0734
43S 0.0735
4X1 0.0735
43A 0.0739
4TN 0.0750
4KA 0.0751
4RU 0.0751
4VA 0.0756
4XF 0.0757
43O 0.0758
40D 0.0765
4F0 0.0765
4FZ 0.0765
472 0.0772
4EW 0.0772
4FB 0.0775
4DZ 0.0785
4PJ 0.0791
40F 0.0795
49B 0.0797
4NE 0.0798
46J 0.0803
4GS 0.0803
47A 0.0804
41D 0.0805
4H5 0.0806
4DY 0.0810
42V 0.0812
4ES 0.0821
494 0.0828
4P5 0.0828
4JC 0.0833
45W 0.0834
4JE 0.0835
4FF 0.0837
4HN 0.0838
4QF 0.0841
4SO 0.0845
4T3 0.0849
4VU 0.0849
43F 0.0850
49F 0.0852
47U 0.0859
44W 0.0860
460 0.0861
46A 0.0864
4A0 0.0864
4AU 0.0866
46K 0.0868
43L 0.0873
4QA 0.0873
4RH 0.0877
