id	start_ener	final_ener	rms
4	10N	10N	10N
CNN	  -59.64	  -62.10	   0.004
NO3	  -72.06	  -72.08	   0.004
AX2	 -278.29	 -279.28	   0.012
NSM	   -5.57	   -6.76	   0.012
0NM	  -37.44	  -38.11	   0.013
E1H	  -19.93	  -20.46	   0.013
IS8	  -12.95	  -17.29	   0.013
RRA	  -11.18	  -12.38	   0.013
TOU	 -129.29	 -129.94	   0.013
CCN	  -16.70	  -17.02	   0.014
CFT	   -1.33	   -1.65	   0.014
PO2	  -83.49	  -83.63	   0.014
ACU	    6.84	    5.58	   0.016
JYF	   -5.74	   -6.22	   0.016
MCE	   -5.69	   -6.19	   0.016
2MZ	  -33.47	  -34.17	   0.017
4MZ	  -28.00	  -29.23	   0.017
61G	   -4.78	   -5.40	   0.017
ACM	  -42.53	  -43.62	   0.017
BBX	   -6.20	   -6.73	   0.017
BNZ	    1.96	    1.28	   0.017
CNM	  -42.53	  -43.62	   0.017
CNV	   -9.88	  -10.36	   0.017
HDN	   -4.12	   -5.39	   0.017
TME	    1.22	    0.88	   0.017
8P0	    8.41	    3.76	   0.018
EOH	  -10.88	  -11.50	   0.018
NPY	    3.41	    0.88	   0.018
ZZS	 -170.86	 -173.09	   0.018
03V	  -20.99	  -23.87	   0.019
AN3	    4.92	    0.10	   0.019
MCB	    6.58	    5.61	   0.019
MEB	   -3.23	   -3.75	   0.019
MZY	  -54.23	  -55.86	   0.019
NBU	    1.49	    1.02	   0.019
OHE	  -10.80	  -11.44	   0.019
URE	 -114.64	 -118.79	   0.019
6AM	 -238.36	 -240.27	   0.020
ACN	   18.36	   17.08	   0.020
BUT	    1.50	    1.02	   0.020
MBN	   -0.43	   -1.34	   0.020
PEY	    9.44	    5.81	   0.020
TRI	  -29.98	  -30.99	   0.020
0PY	  -13.44	  -14.63	   0.021
3AW	 -183.17	 -185.11	   0.021
ANL	  -35.73	  -37.48	   0.021
CHX	    3.29	    2.32	   0.021
CO2	   -6.59	   -7.52	   0.021
LG3	 -161.88	 -163.65	   0.021
PXY	   -2.67	   -3.85	   0.021
TB0	  -40.34	  -41.08	   0.021
W62	   13.73	    8.01	   0.021
3AY	 -259.86	 -260.60	   0.022
3CN	   -6.88	   -8.07	   0.022
ISQ	   -7.20	  -10.29	   0.022
16N	    6.93	    4.90	   0.023
8GF	  -83.47	  -85.63	   0.023
8VH	   -2.97	   -4.06	   0.023
CRS	  -26.80	  -28.14	   0.023
IPH	  -21.78	  -23.07	   0.023
JFD	 -275.25	 -277.75	   0.023
LGA	  -67.44	  -69.04	   0.023
SEZ	   -5.70	   -6.85	   0.023
TI5	  -61.44	  -63.44	   0.023
3MP	   -7.88	   -9.41	   0.024
6MU	 -106.04	 -107.38	   0.024
DEN	   12.61	   10.17	   0.024
DMS	  -29.60	  -30.42	   0.024
ESA	  -79.54	  -80.96	   0.024
G6C	  -44.05	  -46.68	   0.024
LDB	 -133.11	 -135.42	   0.024
MNC	   -3.97	   -4.70	   0.024
MR3	   -5.21	   -7.11	   0.024
P1R	   -2.20	   -3.65	   0.024
PCR	  -15.92	  -20.20	   0.024
TAN	   -0.33	   -1.29	   0.024
03S	  -93.84	  -95.09	   0.025
13X	 -115.53	 -117.53	   0.025
15O	    5.88	    2.90	   0.025
5ZE	  -84.97	  -86.43	   0.025
8PN	  -24.86	  -25.89	   0.025
8X3	 -119.00	 -120.32	   0.025
9SB	 -111.98	 -113.10	   0.025
AJ2	  -76.70	  -80.25	   0.025
C5O	   -2.48	   -3.69	   0.025
CQG	  -62.90	  -64.61	   0.025
EOX	   -8.65	   -9.79	   0.025
ES3	  -22.19	  -23.66	   0.025
HUH	  -19.04	  -20.64	   0.025
ISO	  -34.74	  -37.39	   0.025
OXE	   -1.05	   -2.39	   0.025
RVV	  -32.01	  -33.35	   0.025
S5V	  -19.96	  -21.67	   0.025
U0O	  -23.40	  -24.12	   0.025
W6T	  -62.04	  -65.62	   0.025
Y84	    4.60	    1.37	   0.025
1LM	  -76.80	  -79.92	   0.026
1LQ	  -55.92	  -59.70	   0.026
2MP	  -25.76	  -27.56	   0.026
5I2	  -20.81	  -24.46	   0.026
6FB	  -81.85	  -88.49	   0.026
7W1	  -61.40	  -64.61	   0.026
8CL	   -0.87	   -1.95	   0.026
C4O	   -3.50	   -4.77	   0.026
CAQ	  -14.71	  -20.37	   0.026
ERH	  -30.79	  -32.17	   0.026
IPA	  -18.03	  -18.86	   0.026
LNK	    1.72	    1.11	   0.026
NKE	    1.99	   -2.56	   0.026
PTW	 -205.29	 -208.04	   0.026
PYD	  -71.72	  -74.53	   0.026
QBC	  -90.28	  -93.05	   0.026
QTE	    2.94	    1.57	   0.026
R4W	  -56.22	  -57.15	   0.026
TJL	  -47.15	  -49.76	   0.026
TSM	  -44.91	  -47.07	   0.026
WMH	  -22.99	  -24.78	   0.026
XBZ	   -3.36	   -4.94	   0.026
ZCI	  -22.63	  -23.69	   0.026
12B	   13.92	    9.46	   0.027
18N	  -80.45	  -83.60	   0.027
1NP	   -6.05	  -11.14	   0.027
2XH	    2.03	   -0.91	   0.027
4AN	 -142.19	 -146.23	   0.027
4ZE	  -40.63	  -43.95	   0.027
5Q0	  -38.45	  -41.84	   0.027
8P7	  -27.88	  -31.25	   0.027
ARF	  -45.10	  -46.17	   0.027
BML	  -23.68	  -25.15	   0.027
BZI	  -13.86	  -17.60	   0.027
CBM	  -31.57	  -33.70	   0.027
CWS	  -56.79	  -60.92	   0.027
FPN	  -19.03	  -20.59	   0.027
HQE	  -33.81	  -35.54	   0.027
LOM	   -3.54	   -5.09	   0.027
M4A	  -88.59	  -91.73	   0.027
PRL	 -123.18	 -128.80	   0.027
Q24	 -143.70	 -147.26	   0.027
QD1	  -82.60	  -85.34	   0.027
QUZ	    2.59	   -0.66	   0.027
TAU	 -118.43	 -120.18	   0.027
TMO	  -38.23	  -39.52	   0.027
V9U	  -99.90	 -103.22	   0.027
XYD	  -32.26	  -34.89	   0.027
YY1	  -60.14	  -62.59	   0.027
1PK	 -179.55	 -184.48	   0.028
4CH	  -22.21	  -23.73	   0.028
4FT	   30.13	   25.37	   0.028
4HS	  -41.67	  -43.94	   0.028
4MN	  -35.43	  -37.80	   0.028
4NL	  -41.91	  -45.01	   0.028
51S	  -28.12	  -31.14	   0.028
51V	  -27.90	  -30.43	   0.028
5IQ	  -24.03	  -28.10	   0.028
5MI	    2.06	   -2.60	   0.028
D1V	 -122.37	 -126.37	   0.028
DJP	  -27.34	  -28.85	   0.028
GZ6	 -224.41	 -225.55	   0.028
H3Z	  -21.62	  -23.49	   0.028
HRZ	  -39.41	  -41.94	   0.028
LYT	   -6.64	   -7.88	   0.028
MWJ	  -20.42	  -22.26	   0.028
POL	   -7.73	   -8.62	   0.028
Q4H	  -82.60	  -85.44	   0.028
T5V	    8.50	    5.77	   0.028
TBU	  -26.67	  -27.63	   0.028
U6W	   23.54	   18.93	   0.028
V06	  -79.43	  -81.20	   0.028
WQG	  -92.97	  -96.38	   0.028
2HT	   -0.13	   -1.45	   0.029
34A	  -37.76	  -40.43	   0.029
5KX	  -22.48	  -23.69	   0.029
6RQ	 -114.61	 -117.90	   0.029
ACT	  -31.20	  -33.42	   0.029
ACY	  -31.23	  -33.44	   0.029
ADM	    8.33	    6.01	   0.029
ANC	  -19.14	  -25.17	   0.029
BBW	  -58.15	  -62.13	   0.029
BT6	   -2.62	   -3.91	   0.029
C4U	   -4.06	   -5.33	   0.029
CB0	    0.31	   -0.83	   0.029
ENC	  -43.76	  -46.52	   0.029
FIV	  -51.33	  -55.56	   0.029
HEX	    1.99	    1.27	   0.029
K5V	  -76.56	  -79.46	   0.029
LDR	  -30.38	  -33.15	   0.029
MBD	  -17.69	  -20.89	   0.029
MZG	  -19.63	  -21.48	   0.029
OCH	  -50.37	  -53.80	   0.029
PAB	  -98.68	 -102.05	   0.029
PWM	 -117.28	 -120.75	   0.029
QDI	  -74.27	  -77.35	   0.029
QEF	  -86.36	  -89.53	   0.029
SO4	 -217.22	 -219.70	   0.029
URA	 -150.68	 -153.94	   0.029
V7M	  -10.17	  -11.64	   0.029
W0E	  -89.38	  -91.38	   0.029
WOT	  -36.66	  -38.60	   0.029
Y3G	 -121.94	 -124.62	   0.029
13D	  -16.60	  -18.48	   0.030
43M	  -23.29	  -25.29	   0.030
4JP	   -1.29	   -6.45	   0.030
4XH	   -8.67	  -12.18	   0.030
5MB	  -19.30	  -23.88	   0.030
5QM	  -18.91	  -22.80	   0.030
5UC	 -116.72	 -119.30	   0.030
9PO	  -14.84	  -17.96	   0.030
ANF	   -5.43	  -10.93	   0.030
BU8	 -150.95	 -153.88	   0.030
BZJ	 -102.49	 -108.20	   0.030
C3U	    1.10	   -0.61	   0.030
G4O	  -18.79	  -19.62	   0.030
H8N	  -25.98	  -27.68	   0.030
HT4	  -24.71	  -27.36	   0.030
KJH	   -0.73	   -4.13	   0.030
M3T	   -4.84	   -6.22	   0.030
MML	   -0.73	   -2.20	   0.030
NIO	  -89.48	  -92.34	   0.030
NTB	  -30.83	  -32.15	   0.030
Q3C	  -83.15	  -88.11	   0.030
RCO	  -51.62	  -55.11	   0.030
TH0	  -67.09	  -69.84	   0.030
TIU	 -331.59	 -335.15	   0.030
URB	 -134.61	 -136.99	   0.030
XJM	  -36.02	  -38.04	   0.030
XU1	  -93.90	  -97.27	   0.030
2ZX	 -175.45	 -178.14	   0.031
3BB	  -12.61	  -14.05	   0.031
4MA	  -54.08	  -56.61	   0.031
71G	  -33.28	  -35.31	   0.031
71O	  -38.99	  -41.51	   0.031
7WO	  -50.93	  -55.50	   0.031
BOX	  -52.65	  -54.95	   0.031
CXL	  -10.53	  -12.18	   0.031
D48	  -17.38	  -22.48	   0.031
DS1	  -43.54	  -46.29	   0.031
H42	  -22.53	  -24.85	   0.031
HBX	    2.58	    1.05	   0.031
HHN	    0.39	   -1.42	   0.031
IBN	   -3.69	   -5.32	   0.031
IUR	 -129.00	 -131.71	   0.031
JB5	   -1.80	   -6.46	   0.031
JQ8	  -38.07	  -40.48	   0.031
JZ0	  -14.07	  -17.78	   0.031
N4B	    1.89	    0.61	   0.031
PYE	    2.02	   -0.02	   0.031
T0O	  -18.85	  -19.76	   0.031
USD	    2.52	   -0.17	   0.031
XGV	  -44.86	  -47.44	   0.031
ZO6	   -9.19	  -15.31	   0.031
0D8	  -18.88	  -20.46	   0.032
1BO	   -7.63	   -8.58	   0.032
1HC	  -50.74	  -51.98	   0.032
2AI	 -118.94	 -121.05	   0.032
3FA	  -10.95	  -15.06	   0.032
3N8	  -24.95	  -28.19	   0.032
4PZ	    0.45	   -2.39	   0.032
9W9	  -17.46	  -19.41	   0.032
AML	   -6.27	   -7.66	   0.032
DHB	  -63.14	  -74.14	   0.032
ES5	  -41.28	  -45.18	   0.032
FBA	  -48.18	  -50.63	   0.032
HAI	  -38.31	  -40.17	   0.032
HTU	  -24.29	  -25.93	   0.032
IGA	 -335.07	 -340.55	   0.032
KT7	  -54.98	  -58.68	   0.032
L3N	 -157.32	 -159.52	   0.032
LV5	  -39.04	  -41.31	   0.032
MQN	  -51.53	  -56.06	   0.032
ODF	  -98.45	 -101.42	   0.032
QW8	 -141.71	 -146.91	   0.032
S95	  -67.36	  -73.26	   0.032
URF	 -102.58	 -105.29	   0.032
WDL	 -156.44	 -158.52	   0.032
2BR	  -17.66	  -20.19	   0.033
2XE	   -5.10	   -6.47	   0.033
58I	  -61.68	  -64.48	   0.033
5AN	  -88.35	  -90.77	   0.033
5H1	  -18.36	  -23.22	   0.033
5SG	  -17.43	  -21.84	   0.033
7DV	  -32.25	  -34.69	   0.033
8LG	  -29.49	  -34.12	   0.033
8NF	    8.96	    5.05	   0.033
98Z	    5.83	    0.79	   0.033
A20	  -86.03	  -88.38	   0.033
ANQ	   34.28	   29.41	   0.033
DCE	   -5.40	   -6.28	   0.033
DMD	  -19.10	  -24.12	   0.033
F60	  -27.07	  -32.22	   0.033
FK1	    1.79	   -3.11	   0.033
HTS	  -20.49	  -23.51	   0.033
MCT	  -18.22	  -23.15	   0.033
MSM	   -0.15	   -1.21	   0.033
NEH	   -7.65	   -8.68	   0.033
NML	  -23.92	  -26.12	   0.033
NPT	   -0.57	   -2.68	   0.033
OVV	  -54.03	  -56.53	   0.033
PKN	  -50.61	  -54.18	   0.033
PYS	  -39.67	  -41.61	   0.033
PZE	   48.63	   45.94	   0.033
SYN	    1.69	    0.51	   0.033
T2U	   14.92	   10.12	   0.033
TBS	    7.96	    3.74	   0.033
TN1	  -18.44	  -20.73	   0.033
TUL	 -134.26	 -137.29	   0.033
V5I	  -21.93	  -24.42	   0.033
VMT	   -3.79	   -5.47	   0.033
VTY	  -36.88	  -41.46	   0.033
W3M	  -24.12	  -25.82	   0.033
WEI	 -138.66	 -142.14	   0.033
WQ4	  -27.90	  -31.45	   0.033
Y87	   -4.29	   -5.69	   0.033
0IF	  -68.09	  -70.66	   0.034
0TU	  -50.70	  -54.29	   0.034
231	  -14.64	  -16.50	   0.034
2MY	  -14.31	  -16.70	   0.034
308	  -14.70	  -18.23	   0.034
3CH	  -29.96	  -31.81	   0.034
4YS	  -27.47	  -30.25	   0.034
54G	 -106.39	 -110.57	   0.034
54O	  -86.24	  -88.32	   0.034
5MP	   -4.40	   -6.54	   0.034
5RN	   19.50	   12.14	   0.034
9AP	  -13.03	  -18.39	   0.034
9TT	  -23.55	  -29.32	   0.034
ADO	   48.95	   45.86	   0.034
AKR	  -64.56	  -66.62	   0.034
AX7	 -114.77	 -119.27	   0.034
AXO	    1.95	    0.58	   0.034
B3R	  -23.83	  -25.71	   0.034
BEO	  -68.79	  -71.04	   0.034
BHA	 -178.08	 -182.98	   0.034
BIK	 -117.49	 -123.93	   0.034
BOT	   -0.19	   -4.59	   0.034
CYH	   32.54	   30.63	   0.034
DU7	  -87.87	  -90.55	   0.034
ES9	  -19.11	  -23.16	   0.034
FHB	  -64.57	  -68.29	   0.034
FLM	  -41.93	  -45.01	   0.034
I7W	  -56.10	  -60.90	   0.034
J5I	  -33.27	  -36.06	   0.034
KDV	  -20.11	  -23.84	   0.034
MEW	 -111.79	 -115.11	   0.034
N0D	  -18.66	  -21.07	   0.034
PWA	 -113.45	 -117.39	   0.034
QC6	  -62.96	  -66.35	   0.034
SAL	 -106.62	 -110.48	   0.034
STQ	  -11.75	  -14.19	   0.034
SVI	    9.45	    2.76	   0.034
SZ1	   -5.18	   -7.13	   0.034
TAQ	 -151.16	 -156.47	   0.034
TBF	  -19.27	  -21.60	   0.034
TDR	 -129.07	 -132.12	   0.034
TR2	  -57.56	  -64.58	   0.034
XQM	   -7.37	   -8.92	   0.034
YAN	    5.28	    3.57	   0.034
07K	  -69.51	  -73.28	   0.035
0CT	    2.28	   -2.83	   0.035
172	 -130.13	 -138.10	   0.035
1MJ	  -26.08	  -32.37	   0.035
1P7	  -15.64	  -18.68	   0.035
1Y6	  -58.53	  -61.30	   0.035
27Y	   -7.63	  -10.40	   0.035
2XX	   37.96	   33.37	   0.035
3A9	  -58.05	  -62.42	   0.035
4JU	  -11.37	  -13.52	   0.035
5JC	  -15.42	  -17.96	   0.035
6AI	  -30.02	  -36.41	   0.035
6AR	   -2.28	   -4.99	   0.035
7VP	  -21.24	  -23.55	   0.035
86J	   16.73	    5.34	   0.035
AMC	  -23.75	  -25.99	   0.035
BA9	  -77.97	  -86.82	   0.035
BEZ	  -52.37	  -54.79	   0.035
BZF	   15.16	   11.20	   0.035
D1N	  -10.36	  -15.12	   0.035
EEE	   -3.72	   -5.90	   0.035
ETI	   -7.46	   -8.30	   0.035
GAB	  -81.33	  -85.06	   0.035
H3M	  -36.94	  -41.50	   0.035
HP6	    2.25	    1.40	   0.035
IMD	   -7.21	  -10.63	   0.035
KBU	    0.50	   -3.92	   0.035
LW1	   -7.88	   -9.68	   0.035
LY1	    8.96	    5.77	   0.035
LZ1	   22.24	   16.41	   0.035
MAS	 -117.58	 -120.10	   0.035
MBA	   -2.16	   -4.07	   0.035
NKZ	    0.04	   -6.09	   0.035
OHB	 -102.40	 -105.29	   0.035
PDO	  -21.49	  -22.78	   0.035
PIH	   -4.34	   -5.69	   0.035
PUT	  -14.57	  -16.61	   0.035
SBT	  -12.23	  -13.80	   0.035
SYG	  -52.20	  -55.82	   0.035
TAY	  -33.26	  -35.07	   0.035
TSU	  -54.97	  -59.57	   0.035
U88	  -38.11	  -40.35	   0.035
W8W	 -103.46	 -106.14	   0.035
WLP	    0.20	   -1.93	   0.035
WLX	 -115.04	 -119.26	   0.035
XHB	  -66.15	  -69.11	   0.035
174	  -55.68	  -58.35	   0.036
17E	 -230.52	 -234.64	   0.036
17Z	  -16.65	  -21.61	   0.036
1MZ	  -11.51	  -15.12	   0.036
2AF	  -11.03	  -14.57	   0.036
2BM	   -6.26	   -7.12	   0.036
2F2	    0.64	   -0.53	   0.036
2ME	   -1.73	   -2.95	   0.036
3BR	   -3.51	   -4.19	   0.036
3BZ	  -55.14	  -57.95	   0.036
3H2	    2.13	    0.72	   0.036
4VP	  -21.75	  -23.60	   0.036
71J	  -23.67	  -26.07	   0.036
71K	  -75.94	  -80.58	   0.036
7CZ	    4.65	    0.86	   0.036
7W4	   30.17	   17.46	   0.036
9L6	    1.81	    0.65	   0.036
9UZ	  -33.36	  -35.65	   0.036
AQO	 -234.76	 -240.30	   0.036
AW5	  -68.72	  -71.79	   0.036
BYZ	    7.83	    4.08	   0.036
CHB	  -71.65	  -75.37	   0.036
DCI	   -2.18	   -4.07	   0.036
DKG	   17.49	   14.40	   0.036
DMN	    6.18	    4.80	   0.036
DSJ	 -118.57	 -122.31	   0.036
ET2	 -118.44	 -123.53	   0.036
ETZ	   -4.41	   -5.57	   0.036
FL3	   15.47	   11.54	   0.036
IND	    8.99	    4.10	   0.036
IWS	  -58.35	  -62.76	   0.036
JAE	  -33.92	  -39.29	   0.036
JZ2	  -25.41	  -27.93	   0.036
KUF	  -28.25	  -31.35	   0.036
KVD	  -88.77	  -92.60	   0.036
MAQ	 -337.61	 -342.29	   0.036
MTF	  -25.44	  -27.35	   0.036
NDD	 -115.64	 -121.76	   0.036
PRA	  -27.37	  -29.46	   0.036
PZO	    4.81	    1.22	   0.036
S76	 -283.71	 -287.36	   0.036
THA	  -67.73	  -71.54	   0.036
USA	   12.63	    9.84	   0.036
VGD	 -118.99	 -123.74	   0.036
WPK	  -18.76	  -23.33	   0.036
Z82	  -53.37	  -56.00	   0.036
1CI	   -3.03	   -5.86	   0.037
1F1	  -50.64	  -56.97	   0.037
2CM	   -4.18	   -6.96	   0.037
2K4	  -14.30	  -21.01	   0.037
33D	   -6.47	   -7.94	   0.037
5JE	  -14.79	  -21.24	   0.037
7SI	   -5.12	   -8.60	   0.037
7ZX	    4.50	    1.31	   0.037
8H4	    1.67	   -5.37	   0.037
8NZ	  -46.37	  -52.51	   0.037
9CG	   -5.44	  -10.19	   0.037
9CL	    0.96	   -0.28	   0.037
9IU	    2.35	    0.48	   0.037
BNS	  -52.30	  -56.52	   0.037
CNH	   -4.32	   -6.53	   0.037
D5B	  -95.65	 -102.94	   0.037
DQU	 -126.48	 -132.82	   0.037
ETN	   -2.08	   -3.40	   0.037
FMT	  -81.31	  -82.83	   0.037
GE2	  -51.54	  -54.55	   0.037
HGQ	  -52.97	  -56.28	   0.037
HPA	 -153.34	 -157.34	   0.037
IOL	  -26.62	  -28.50	   0.037
JD6	   -5.91	  -12.03	   0.037
JIF	  -33.83	  -36.27	   0.037
JZ6	    7.04	    3.69	   0.037
MWM	  -16.48	  -18.88	   0.037
MWP	  -20.58	  -24.24	   0.037
NPN	   -8.87	   -9.92	   0.037
P6Z	    2.18	   -1.13	   0.037
PIP	   -2.27	   -4.31	   0.037
PIW	    0.33	   -2.23	   0.037
PWP	  -89.98	  -93.84	   0.037
Q3F	  -10.19	  -15.80	   0.037
S3H	    1.97	   -7.61	   0.037
S9P	  -29.01	  -34.05	   0.037
SNU	  -24.58	  -28.93	   0.037
TX0	  -50.71	  -53.75	   0.037
UFZ	  -40.10	  -41.99	   0.037
UPQ	  -14.66	  -18.06	   0.037
V5T	  -60.65	  -66.78	   0.037
WV0	   19.34	   16.01	   0.037
XQJ	   -7.16	   -8.71	   0.037
Y8I	  -20.01	  -22.86	   0.037
1AN	   -1.97	   -5.19	   0.038
1XX	   34.35	   29.58	   0.038
23A	  -27.22	  -30.95	   0.038
2IB	   -1.46	   -3.43	   0.038
2NW	  -61.66	  -65.82	   0.038
3AX	  -38.45	  -42.44	   0.038
3GY	    3.20	    1.67	   0.038
4CL	  -24.31	  -27.67	   0.038
4IA	  -52.08	  -54.85	   0.038
4LJ	  -14.16	  -15.60	   0.038
5JD	  -21.29	  -23.60	   0.038
71A	    7.46	    4.66	   0.038
98K	  -14.59	  -18.87	   0.038
BSX	    0.83	   -2.06	   0.038
BTT	  -44.90	  -49.04	   0.038
C2Y	   -4.27	  -10.72	   0.038
FUM	 -179.02	 -183.14	   0.038
H6N	  -16.41	  -20.69	   0.038
J6Z	  -61.33	  -63.63	   0.038
KD6	    4.48	   -0.55	   0.038
OCT	    2.50	    1.52	   0.038
PE9	   -7.27	   -8.36	   0.038
PYZ	    4.86	    1.70	   0.038
PZR	   -9.42	  -16.15	   0.038
QOX	   -4.65	   -9.58	   0.038
ROP	  -38.85	  -40.21	   0.038
UFH	   -8.08	  -11.83	   0.038
VK3	   23.35	   20.12	   0.038
X3T	  -82.55	  -91.01	   0.038
1LX	    0.40	   -6.49	   0.039
2XG	    0.92	   -1.20	   0.039
3CL	  -16.82	  -17.91	   0.039
4F9	  -42.14	  -44.59	   0.039
4FL	  -26.14	  -28.42	   0.039
4JN	    9.09	    5.68	   0.039
5HN	  -61.52	  -65.82	   0.039
8QM	  -44.43	  -47.26	   0.039
BBU	   -3.30	   -4.08	   0.039
CDE	   -9.65	  -11.31	   0.039
CVW	   -0.72	   -5.39	   0.039
CYI	  -15.23	  -16.73	   0.039
E30	  -64.33	  -67.86	   0.039
G3E	  -15.81	  -19.19	   0.039
GBD	  -63.80	  -69.77	   0.039
I3A	    2.99	   -2.56	   0.039
I7E	    4.28	    2.43	   0.039
JUG	  -22.54	  -27.03	   0.039
KEN	    8.24	    6.68	   0.039
KXQ	  -56.34	  -62.53	   0.039
N5J	  -60.04	  -64.54	   0.039
NLZ	 -151.81	 -155.22	   0.039
S60	 -257.31	 -265.96	   0.039
SZ3	  -27.08	  -29.85	   0.039
TJA	   29.74	   26.67	   0.039
VUO	  -24.76	  -28.21	   0.039
W3S	  -15.70	  -23.65	   0.039
WB1	  -47.03	  -53.29	   0.039
XLV	  -47.12	  -49.81	   0.039
Y31	  -82.58	  -86.19	   0.039
01F	  -94.12	  -97.05	   0.040
0GF	  -52.82	  -56.01	   0.040
1DW	  -11.93	  -15.10	   0.040
25R	   44.71	   40.40	   0.040
260	  -16.96	  -19.78	   0.040
290	 -102.74	 -106.56	   0.040
29H	 -295.36	 -302.14	   0.040
2AQ	 -119.23	 -124.07	   0.040
2BP	  -76.79	  -81.78	   0.040
2EP	   -8.69	  -11.14	   0.040
36Y	  -16.46	  -18.59	   0.040
3QV	  -78.71	  -83.93	   0.040
3SQ	  -20.61	  -22.87	   0.040
45C	  -18.65	  -22.37	   0.040
4W1	   -0.63	   -4.94	   0.040
6AP	 -150.50	 -155.38	   0.040
6SO	   -2.53	   -7.27	   0.040
71M	 -137.41	 -140.03	   0.040
9DA	  -36.67	  -42.83	   0.040
AC0	   15.51	   13.29	   0.040
APZ	  -13.99	  -18.60	   0.040
CNL	   11.66	    7.00	   0.040
CP2	   -5.08	   -6.20	   0.040
CVG	  -25.39	  -29.19	   0.040
D64	 -144.76	 -149.87	   0.040
DIO	   27.26	   24.02	   0.040
DMF	  -11.24	  -14.53	   0.040
DOX	   27.28	   24.02	   0.040
E00	   24.48	   21.67	   0.040
HBA	  -24.26	  -27.87	   0.040
HZQ	   -7.37	  -11.92	   0.040
I7Z	  -57.91	  -60.25	   0.040
ICO	  -40.09	  -46.47	   0.040
K8A	  -19.82	  -25.73	   0.040
KWB	 -103.72	 -108.93	   0.040
LT1	   -3.69	   -5.10	   0.040
M0Q	 -126.12	 -131.78	   0.040
MB8	  -46.81	  -49.79	   0.040
MKV	   -6.43	   -8.62	   0.040
MT0	   30.44	   24.60	   0.040
MVN	  -61.13	  -63.98	   0.040
N2I	   -8.35	  -12.24	   0.040
N2P	  -14.34	  -16.50	   0.040
PBN	   -6.12	   -8.19	   0.040
PPO	  -18.15	  -24.42	   0.040
QSB	  -79.74	  -84.12	   0.040
S3V	  -64.21	  -67.18	   0.040
U5N	  -12.12	  -14.65	   0.040
W6P	   21.85	   18.60	   0.040
XQ0	  -25.57	  -31.50	   0.040
XWZ	   21.76	   18.38	   0.040
Y25	   11.75	    8.63	   0.040
YSO	  -50.85	  -58.67	   0.040
0R1	   18.41	   13.03	   0.041
14O	    6.48	    1.05	   0.041
29G	 -179.39	 -184.64	   0.041
2G3	   -4.64	   -6.40	   0.041
36R	  -96.47	 -100.89	   0.041
37T	 -179.98	 -184.60	   0.041
3TR	 -138.97	 -142.38	   0.041
4AP	  -64.76	  -70.44	   0.041
4JO	 -133.33	 -136.59	   0.041
4PL	    2.37	   -3.27	   0.041
4ZV	  -55.53	  -62.10	   0.041
5R0	  -48.76	  -52.13	   0.041
71L	 -144.74	 -147.22	   0.041
90R	  -15.54	  -20.10	   0.041
93B	  -84.87	  -87.74	   0.041
9HX	  -97.85	 -103.69	   0.041
BGU	 -350.40	 -360.02	   0.041
BVF	 -129.87	 -132.47	   0.041
D0M	  -11.41	  -13.07	   0.041
EGM	  -53.09	  -55.66	   0.041
F9Y	   11.49	    5.82	   0.041
GKF	   10.04	    3.18	   0.041
HE2	   -6.98	   -8.22	   0.041
HVK	 -121.69	 -124.37	   0.041
IMW	    7.18	    3.45	   0.041
J9N	  -86.38	  -91.98	   0.041
JA8	  -76.78	  -82.13	   0.041
K2T	  -73.22	  -78.37	   0.041
LXK	   -9.98	  -13.98	   0.041
M5K	 -123.06	 -127.83	   0.041
SZB	  -58.97	  -62.63	   0.041
T4U	    5.04	    2.20	   0.041
TLD	  -10.62	  -12.95	   0.041
UW6	    5.22	    1.80	   0.041
V1L	   -8.00	  -10.12	   0.041
V5B	  -96.98	  -98.12	   0.041
W3G	    6.33	    2.55	   0.041
W3P	    5.32	    1.40	   0.041
Y7V	  -16.10	  -18.07	   0.041
YZK	  -14.70	  -17.72	   0.041
ZCW	    3.32	   -1.91	   0.041
000	  -94.87	  -98.16	   0.042
11S	    7.40	    2.13	   0.042
141	 -136.61	 -145.23	   0.042
1MC	 -215.70	 -220.17	   0.042
1Y5	   -7.71	  -10.71	   0.042
21D	 -100.09	 -109.75	   0.042
2ON	  -86.87	  -92.20	   0.042
344	 -257.99	 -267.49	   0.042
3AV	  -28.12	  -32.86	   0.042
3HB	  -70.75	  -73.75	   0.042
4JQ	  -49.61	  -53.71	   0.042
4KS	  -21.23	  -24.12	   0.042
6GU	  -79.02	  -85.38	   0.042
7DM	 -175.10	 -180.26	   0.042
7WA	  -27.97	  -32.73	   0.042
7XM	 -164.62	 -169.76	   0.042
8FS	  -11.95	  -14.40	   0.042
938	   17.23	   13.02	   0.042
9CA	    4.96	    1.27	   0.042
9IR	    2.42	    0.53	   0.042
9OX	   16.89	   12.80	   0.042
A2Q	   16.82	   14.89	   0.042
AC6	  -16.28	  -19.11	   0.042
AO4	  -71.54	  -75.22	   0.042
BRJ	   -2.11	   -3.63	   0.042
D4V	  -69.06	  -72.80	   0.042
F5B	   -0.47	   -3.34	   0.042
F5U	    1.17	   -5.02	   0.042
F5X	  -14.51	  -20.70	   0.042
FBB	  -70.93	  -76.43	   0.042
GXE	    0.25	   -6.42	   0.042
